rank,score,survived_all,kp_length,kd_length,kp_angle,kd_angle,mean_vx_mae_mps,mean_yaw_mae_radps,mean_height_mae_m,mean_length_tracking_rmse_m,mean_angle_tracking_rmse_rad,mean_tilt_p90_deg,max_tilt_deg,mean_leg_saturation_fraction,max_closure_residual_m
11,2.560021092357176,True,1050.0,30.0,80.0,6.0,0.1658114113709025,0.03828814097077947,0.013951741281765247,0.012189178185832192,0.036130930104657275,1.0038253739008243,1.8815838943683918,6.9367369589345175e-06,0.0005003353345538119
12,2.5602155973189107,True,1050.0,60.0,80.0,10.0,0.1668652423105123,0.03844602464859826,0.013707849593966395,0.01171527402886361,0.041644357608874305,1.0033421565183065,2.1650167966904985,6.9367369589345175e-06,0.0004950309574755735
13,2.5629930280525377,True,1050.0,60.0,65.0,3.0,0.17827933548820174,0.03857952545581474,0.013849099510955077,0.011687916209514157,0.03793192390172977,0.971624593856804,2.431670288122037,0.0,0.0004909860997678683
14,2.571952481547378,True,1200.0,50.0,65.0,8.0,0.1788245450815339,0.040074771189426275,0.014195303395792967,0.010780562466047215,0.046074307520630006,0.9275728229623341,2.0415946651706065,0.0,0.0005092162652008905
15,2.5877148644518666,True,1050.0,60.0,65.0,5.0,0.17871210108523267,0.03906704949663109,0.01382421538052634,0.011684086463495263,0.04125304311008691,0.9176101991925842,1.7138568822378755,0.0,0.0004913416034471159
16,2.5954199124878907,True,900.0,80.0,80.0,6.0,0.1667660446562173,0.03714128323929073,0.013256736626632456,0.012984517263790938,0.035904790349670035,1.0026323726647317,1.9299816181184255,6.9367369589345175e-06,0.000474107623636799
17,2.6101172235831602,True,1200.0,100.0,50.0,1.5,0.19717954511228453,0.04033625275160664,0.014419735371293794,0.010521920727229999,0.046029738267020066,0.9011474940737333,2.9610280961227744,0.0,0.0004944643430700897
18,2.6141648175279943,True,1050.0,30.0,80.0,10.0,0.16682179011395049,0.03900552955575568,0.013913779388822113,0.012221657247889922,0.04183878046549707,1.0051705861180924,2.171280298631508,6.9367369589345175e-06,0.0005009861649529102
19,2.6157847628545317,True,1050.0,30.0,65.0,3.0,0.17832955021063068,0.0392839613553352,0.014042628386081083,0.012182346222642292,0.03805613839418283,0.9754810054398481,2.396343858602952,0.0,0.0004970387470727506
20,2.6215425245779276,True,1200.0,100.0,50.0,3.0,0.1977171872416636,0.04068723960339842,0.014383146346787393,0.010497781863253567,0.04824676201590187,0.8257774083547444,1.8217036738411616,0.0,0.0004950472390227848
21,2.630293161038476,True,900.0,40.0,80.0,6.0,0.16679220027501265,0.0378269811215658,0.013331198438652209,0.013324910159533292,0.036044404161792075,1.002690729183728,1.9439191149449937,6.9367369589345175e-06,0.00048169206674076936
22,2.6320672564035448,True,1050.0,60.0,65.0,8.0,0.17940305473766588,0.03974687435827134,0.013781726055714809,0.011703735756249285,0.04600101818227549,0.9249041445717666,2.0313993615681483,0.0,0.0004921560577463635
23,2.633128086712397,True,1200.0,50.0,50.0,1.5,0.19716065094475693,0.041102681940833205,0.01438039300687543,0.010777519367951023,0.04613163706336401,0.9003642986504232,2.8944064518305312,0.0,0.0005034706987630265
24,2.6406127659857717,True,1050.0,30.0,65.0,5.0,0.17867893582271302,0.03969646117752552,0.01402395807891524,0.012182146253641266,0.041399327740549816,0.9197808966596615,1.8345430251147752,0.0,0.0004972713303653517
25,2.6444279953737264,True,1200.0,50.0,50.0,3.0,0.19766559305616163,0.04135382369442553,0.014357198645309465,0.010751719480413983,0.04834048629434448,0.824653489470896,1.78312899543731,0.0,0.0005041362371897511
26,2.64755833209704,True,900.0,80.0,80.0,10.0,0.16768654431110624,0.038023553043028395,0.013205747235459305,0.013005828588904408,0.041528588919634846,1.0022263533105582,2.15240522186344,6.9367369589345175e-06,0.000474001375042433
27,2.650812591966246,True,1200.0,100.0,50.0,5.0,0.1982300217730077,0.04126830094383582,0.014340441134079177,0.010499451379781116,0.05187338145574084,0.7923599067680491,1.6054730187672233,0.0,0.0004959844187082533
28,2.6509799339725877,True,900.0,80.0,65.0,3.0,0.17913856879565224,0.03808321146452959,0.013355133195317202,0.012978065808835463,0.03787558773121839,0.9704484461008033,2.456830470305343,0.0,0.0004709007404244327
29,2.674609363559915,True,1200.0,50.0,50.0,5.0,0.1981450604456614,0.04184353918926634,0.014325660097133156,0.010756546958794543,0.0520033920395095,0.794822856213379,1.6162862719711593,0.0,0.0005052208437297276
30,2.675821976794504,True,900.0,80.0,65.0,5.0,0.17956773325219322,0.03861874668071606,0.013326872435773188,0.012974434870103961,0.04118010044217816,0.9191621735944466,1.8178704809278097,0.0,0.0004708314408590048
31,2.683890716835081,True,900.0,40.0,80.0,10.0,0.16765278447169335,0.03861153792461144,0.013290092931512393,0.013354617402944743,0.041751650619835205,1.0042721369463161,2.16217433456013,6.9367369589345175e-06,0.00048187553700422656
32,2.6858519415855118,True,900.0,40.0,65.0,3.0,0.17928632422226498,0.03880114466254216,0.013425339415245846,0.013316143725396743,0.03796449476167346,0.9744617040218512,2.4109485631810696,0.0,0.0004783506943704452
33,2.6858927336633713,True,1050.0,30.0,65.0,8.0,0.17937112928309998,0.040283294214103954,0.013988259242505574,0.01220961910016096,0.046185544796481626,0.9269757294782133,2.037025413316612,0.0,0.0004981175192463214
34,2.6937098217956144,True,1050.0,60.0,50.0,1.5,0.19782573877365614,0.040707132359103546,0.013976071993147182,0.011696835503620336,0.046063093160216645,0.9019764328766623,2.9078899493120405,0.0,0.00048723112802402256
35,2.6952064308177635,True,900.0,20.0,80.0,6.0,0.16688750028361543,0.038353252210913104,0.013573896060600943,0.013934182020024157,0.03625453572082605,1.0105518191652494,2.1094148828631827,6.9367369589345175e-06,0.0004868663542433253
36,2.7017203994070185,True,1200.0,100.0,50.0,8.0,0.19926777041297647,0.042058822743190644,0.01426781118830557,0.010523256624260078,0.056769954548927457,0.8574525908864787,2.3924891300296847,0.0,0.0004982646399762301
37,2.7050341920818317,True,1050.0,60.0,50.0,3.0,0.19829226698112168,0.041000358390605805,0.013949452253625861,0.011672629288901035,0.04828542117732416,0.8248954702025715,1.8191683830679415,0.0,0.0004875171743118896
38,2.71070530094951,True,900.0,40.0,65.0,5.0,0.17961437550713483,0.039258753256075835,0.013404836346424209,0.013316285188750459,0.041314826572237756,0.9178170286486156,1.8637590183917498,0.0,0.00047842053510970293
39,2.719217938134563,True,900.0,80.0,65.0,8.0,0.18019793744386964,0.03936318161872721,0.013279065868742428,0.012992594852320596,0.04589193205103165,0.9221333203700024,2.0121241781595742,0.0,0.0004710995737829994
40,2.727047571952446,True,1200.0,50.0,50.0,8.0,0.19920431375615344,0.042528621502124234,0.014268590922347373,0.010785155603669204,0.05699568918293475,0.8599156527297054,2.3989616423472095,0.0,0.0005080361152198777
41,2.734804888519112,True,1050.0,60.0,50.0,5.0,0.19872350133441236,0.04153480716907029,0.013914645972944964,0.01167812984592934,0.05194239161232138,0.7914901126830514,1.607286449225015,0.0,0.0004882846388708113
42,2.7475241171337093,True,750.0,50.0,80.0,6.0,0.1681679301896979,0.037691514715547714,0.012479185978325136,0.01509998818635647,0.03595013119241389,1.0110282268496817,2.0505533034762324,6.9367369589345175e-06,0.00046020509615493654
43,2.748052916646884,True,1050.0,30.0,50.0,1.5,0.1980237249587825,0.041399972239798785,0.014166335080159978,0.012196600021561973,0.04620611586190764,0.9141988082114434,2.8561966847315174,0.0,0.0004936212319214865
44,2.749438664577252,True,900.0,20.0,80.0,10.0,0.1676954346001961,0.039054523619422875,0.013535882579462819,0.013976334144441466,0.042002906424192396,1.0068444389911746,2.167320306258727,6.9367369589345175e-06,0.0004872218081156024
45,2.751712149678921,True,900.0,20.0,65.0,3.0,0.1796047744639681,0.03934287030283792,0.013665485231640875,0.013919454759999558,0.03811887068394063,0.9981782628305333,2.5027115397836046,0.0,0.00048351715403583637
46,2.7555236311823554,True,900.0,40.0,65.0,8.0,0.18018565426268116,0.03991100367494782,0.013366286306822486,0.013341640956778634,0.04609873830660127,0.9247173520420161,2.022196247583584,0.0,0.0004789343286170643
47,2.757841601903181,True,1050.0,30.0,50.0,3.0,0.1983452465935548,0.041618562375802255,0.014147112420414651,0.012168903701565629,0.04842225210384063,0.8272053994212002,1.9825513475470276,0.0,0.0004935308334209062
48,2.7614253373070774,True,900.0,10.0,80.0,6.0,0.16707047091871044,0.038799784301317086,0.01378009405973824,0.014556539010627666,0.03646613581756798,1.0385520946397067,2.307042130521585,6.9367369589345175e-06,0.0004907445388855862
49,2.7756093289135086,True,900.0,20.0,65.0,5.0,0.17973111386183677,0.03975138929752372,0.013647960389146665,0.01392640943959773,0.04151121330061426,0.9264950004914791,2.0539002379969973,0.0,0.0004836089402121181
50,2.781356441801219,True,900.0,80.0,50.0,1.5,0.19858168093638262,0.040237391910458914,0.01348507816681031,0.01298011255616889,0.045999771633551526,0.9053396106415915,2.935133796607439,0.0,0.00046701100302829667
51,2.7867377304783743,True,1050.0,60.0,50.0,8.0,0.19969544736679815,0.04227913875049989,0.01385258264176442,0.011707405042509843,0.05689986513482659,0.8563549391051366,2.3906523235465778,0.0,0.0004902251080371321
52,2.788065931531672,True,1050.0,30.0,50.0,5.0,0.1987065848853102,0.04205923091700889,0.01411906220747812,0.01218009774800721,0.05210086774270208,0.7942903637650088,1.6167469441733764,0.0,0.0004942409769518813
53,2.7926136330140783,True,900.0,80.0,50.0,3.0,0.19906771519749955,0.04059624673490207,0.013453261712258184,0.012958938036301687,0.04822477422789886,0.8233538390259392,1.8950004682645794,0.0,0.0004669965079389051
54,2.8001910680081648,True,750.0,50.0,80.0,10.0,0.16887635877619,0.038529607906093916,0.012434510130727758,0.015129972348444874,0.041625468897345155,1.0091454038782088,2.1483334137518546,6.9367369589345175e-06,0.0004596351256424662
55,2.8030950792558014,True,750.0,50.0,65.0,3.0,0.18063488930011817,0.03865110791433995,0.012577957217902093,0.015085102804791172,0.03789449219266788,0.9859289412695768,2.423713304776003,0.0,0.00045708799642793773
56,2.8169525911985875,True,900.0,40.0,50.0,1.5,0.19886684887885386,0.040939682280815445,0.013552944439853085,0.013323378096942343,0.04609638048283125,0.90912236523478,2.870379641242659,0.0,0.0004745805473768852
57,2.8172192130116085,True,900.0,10.0,80.0,10.0,0.16790790868891659,0.039472394806235024,0.01374736252689406,0.014610407751647379,0.04228987538341622,1.0319304689366804,2.169955734140604,6.9367369589345175e-06,0.0004911009852563671
58,2.8191750578536117,True,900.0,10.0,65.0,3.0,0.17999003526402974,0.03972812974216418,0.01387046322843728,0.014536394184350378,0.038275764977682245,1.0480955494501139,2.7040098419401466,0.0,0.0004875750690985667
59,2.8208723720108018,True,900.0,20.0,65.0,8.0,0.18024468688839315,0.04032813229780763,0.013612347885346321,0.013963075837315774,0.04633430040206682,0.9270924735551471,2.0280249200548606,0.0,0.00048428134587996544
60,2.8219986602017113,True,900.0,80.0,50.0,5.0,0.1994809913299479,0.04119332224929524,0.013414299320426634,0.012964684233737455,0.051858708569847624,0.78748399375208,1.5879146727762015,0.0,0.0004673696925034974
61,2.827632246329702,True,900.0,40.0,50.0,3.0,0.19921336550491114,0.04119930332100458,0.013531065991323546,0.013300358767494469,0.048334169235461154,0.8247549246433938,1.981993792980486,0.0,0.00047446670383028506
62,2.8277966607982923,True,750.0,50.0,65.0,5.0,0.18096526664686977,0.03914889547824574,0.012555851980650564,0.015086969736513746,0.04122864814463446,0.9264371808675367,1.940883354482732,0.0,0.0004567437718362673
63,2.8295170428947656,True,750.0,20.0,80.0,6.0,0.16835802962992402,0.03842686882651399,0.01279856146157004,0.015849101901464432,0.036241309145826656,1.0274797340434398,2.181954119737473,6.9367369589345175e-06,0.00046496314348454563
64,2.841434850173158,True,1050.0,30.0,50.0,8.0,0.19971837278667243,0.042696846283327414,0.01406515043726382,0.012217245456473775,0.05711300851895276,0.8620387655174868,2.3954789090826827,0.0,0.0004968209778151682
65,2.842326109931329,True,900.0,10.0,65.0,5.0,0.1799325994860021,0.04018090701790185,0.0138539246114232,0.014549340038095212,0.041717549961106735,0.9605804941079242,2.2630186456701007,0.0,0.00048749445124595997
66,2.8577779469514684,True,900.0,40.0,50.0,5.0,0.19952669694765057,0.04170205389059481,0.013500872768963567,0.01331117481214895,0.05201855561058578,0.790888581564342,1.6037000475582492,0.0,0.0004750574739431304
67,2.867080023610952,True,1200.0,100.0,35.0,2.0,0.23186446513312184,0.044774760309716576,0.014567671451136964,0.010481163634814411,0.06547468895431895,0.6432162395865335,1.5543528807698368,0.0,0.0004912146200756915
68,2.8717871731523017,True,750.0,50.0,65.0,8.0,0.18142192628450202,0.03985554932816339,0.012513925560152444,0.015112807897735225,0.04598302264744032,0.9292493435942983,2.007210396422877,0.0,0.00045666026042079935
69,2.8730868417517605,True,900.0,80.0,50.0,8.0,0.2003708566211334,0.04201829735423644,0.01334507526675707,0.012992357256102486,0.0567595220788514,0.8525066735246464,2.3775530564622396,0.0,0.00046814060844077544
70,2.8823980446217314,True,750.0,20.0,80.0,10.0,0.16889819390733307,0.039148158206338816,0.012759336901240873,0.01589387203597942,0.04199957886986916,1.0129109435302008,2.157796591757249,6.9367369589345175e-06,0.00046488562862278464
71,2.884769321436161,True,900.0,20.0,50.0,1.5,0.19947293619446732,0.041436644072864535,0.01379128658833353,0.013932206725421937,0.04624746986701073,0.943922721700226,2.830205414635291,0.0,0.0004799529355903978
72,2.8860226588993547,True,750.0,20.0,65.0,3.0,0.18113070468311893,0.03940856789898389,0.012891912379446835,0.01582281621096283,0.038076371533694954,1.027162295230592,2.551965561685797,0.0,0.0004612752915990279
73,2.889089703488732,True,900.0,10.0,65.0,8.0,0.18045853174971221,0.040728337726830294,0.013823420776892114,0.014596765655596328,0.04660613764242974,0.9601718800539163,2.0311063506281113,0.0,0.00048817120776076803
74,2.89055515575876,True,1200.0,50.0,35.0,2.0,0.2319002960308199,0.04527256994348532,0.0145465953428307,0.010739454415295679,0.06558915875023746,0.644155724002292,1.631914126876942,0.0,0.0005003655738446545
75,2.892972964391424,True,900.0,20.0,50.0,3.0,0.19947974413680808,0.04166711945670647,0.01377260525832177,0.013905337586968904,0.04850128394615642,0.8433687755878375,2.2115556806751697,0.0,0.0004795700269942716
76,2.909645482621687,True,750.0,20.0,65.0,5.0,0.1811835199986755,0.03983503798255955,0.012877139966415579,0.01583693249651056,0.04149713180815241,0.942665010997989,2.102954343235,0.0,0.00046146281033177113
77,2.910336618217712,True,900.0,40.0,50.0,8.0,0.20037794726605632,0.04242589509816731,0.01344363713520531,0.013346381297991155,0.057007751762188016,0.8568002664554197,2.3847506509708345,0.0,0.0004760721625046485
78,2.9225411819442577,True,900.0,20.0,50.0,5.0,0.199638519776629,0.04210166479208702,0.013746107880300805,0.013926994962748167,0.052217151435501506,0.7948364533204828,1.791482222679655,0.0,0.0004803259110809042
79,2.933179303892807,True,750.0,50.0,50.0,1.5,0.20010779754588764,0.04080676734605052,0.01271060528082441,0.015081280676511622,0.046021181956239346,0.9205527729385238,2.8818379961191627,0.0,0.0004530717779159743
80,2.9445488791238126,True,750.0,50.0,50.0,3.0,0.20051306487947926,0.04111988824169768,0.012688503404544757,0.015063939509884413,0.04826494663322292,0.8341415594189368,2.0270297810386806,0.0,0.0004527771640925297
81,2.950818039745907,True,1050.0,60.0,35.0,2.0,0.23244096979563492,0.045007774742967396,0.01413910312507946,0.011655676865933122,0.06552850346498153,0.6448040960552882,1.641117643366017,0.0,0.00048345161921471306
