rank,score,survived_all,kp_length,kd_length,kp_angle,kd_angle,mean_vx_mae_mps,mean_yaw_mae_radps,mean_height_mae_m,mean_length_tracking_rmse_m,mean_angle_tracking_rmse_rad,mean_tilt_p90_deg,max_tilt_deg,mean_leg_saturation_fraction,max_closure_residual_m
19,2.2604354800859476,True,1350.0,60.0,120.0,8.0,0.14546526299666468,0.03580118690360654,0.01430936013686683,0.009866293390689914,0.02822076332773095,1.134242017408315,2.1409982331467483,0.00012244360599811586,0.000517409249080187
20,2.2613495001463897,True,1500.0,120.0,100.0,8.0,0.15329357612516156,0.036285955733243724,0.014669894902546065,0.009042868455623382,0.0325430383262328,1.0744910452330494,1.8888556789775075,0.00013135944052022712,0.0005181053671328415
21,2.261887996048131,True,1500.0,80.0,100.0,8.0,0.1531216047996828,0.03674101516615796,0.014537138570981987,0.009086869778133102,0.032625444001178755,1.0741138293482937,1.8852077337463575,0.00018147692607204855,0.0005177920828154901
22,2.263020356617735,True,1500.0,120.0,90.0,5.0,0.15789854643031953,0.03635894386009775,0.014722491609054526,0.00903840854625065,0.031127906335519668,1.0567932053812652,2.330406831834923,0.00011194765366109302,0.0005180608008484126
23,2.263184213648103,True,1500.0,80.0,90.0,5.0,0.1577304105003031,0.036840400046713365,0.01458593011828783,0.009081837632297378,0.031178562256738426,1.0569712394249056,2.305881315749177,0.00015652682627164934,0.0005177654129257231
24,2.2666735006413865,True,1500.0,180.0,100.0,6.0,0.15311859769893815,0.03539499091447858,0.0149894925183411,0.009264140518956854,0.02979232050813287,1.088136559852336,2.2779629272635518,6.696950130227149e-05,0.0005161019505183164
25,2.2731921255221375,True,1500.0,180.0,120.0,12.0,0.14643068627278222,0.03538828760305975,0.014910822241912654,0.009279449475503965,0.032657051183993605,1.125250827192416,2.044665613056344,0.00012244360599811586,0.0005186231251901395
26,2.2808708677940315,True,1350.0,100.0,100.0,6.0,0.15319233890184195,0.03592833753964695,0.014401027311771198,0.009692578641387083,0.029834707681100584,1.0852616987251196,2.2439834828520175,6.0032764343336965e-05,0.0005176500457529933
27,2.284092171344685,True,1500.0,120.0,120.0,16.0,0.14756565136293617,0.03646237255663995,0.014570568065388374,0.009072665503449012,0.036720754218723305,1.1340362654472176,2.4475808731705957,0.00015472942250571476,0.0005181528693024598
28,2.284487326605039,True,1500.0,120.0,100.0,10.0,0.1537844723709285,0.03666433784874017,0.014647826157724503,0.009049533442528542,0.03507252034717988,1.0719911666402373,1.9799712298655558,0.00012442270356129262,0.0005181304532799151
29,2.285656969255875,True,1500.0,80.0,120.0,16.0,0.1473739382394781,0.036867107776879696,0.01444600565870776,0.009120152977557819,0.03688957818841274,1.1332680363632956,2.4513052715655013,0.0001993085951162711,0.0005178591131715948
30,2.285680232204347,True,1500.0,80.0,100.0,10.0,0.15361106760673848,0.03709744044812987,0.014518674468920877,0.009094921809826215,0.03518567183038106,1.073370024363808,1.9826397342881934,0.00018147692607204855,0.0005178087807137265
31,2.2874165797394026,True,1350.0,100.0,120.0,12.0,0.14647255790816704,0.03588561758206177,0.014320002047985548,0.009709601638589865,0.032753351093516236,1.119259427193953,2.0450866049120955,0.00011550686903918134,0.0005177788666894158
32,2.28771331059032,True,1500.0,120.0,90.0,7.0,0.15833435497064266,0.036795476487146456,0.014698504289326318,0.009038292159030657,0.03400541234486541,1.0445850406285069,1.8587782250491298,0.00011194765366109302,0.0005180960382976762
33,2.288118624823792,True,1500.0,80.0,90.0,7.0,0.15816758681546186,0.03724732937020187,0.014566444049888615,0.009082666395485908,0.034084147994388414,1.0437164826727867,1.8536368973916186,0.00014959008931271484,0.0005177887889980138
34,2.2898445126717384,True,1500.0,180.0,100.0,8.0,0.15350625236422893,0.03581855708256204,0.01496983151741136,0.009266127856324932,0.0324727802132925,1.076191421394841,1.8925306979313488,6.0032764343336965e-05,0.0005165719762775749
35,2.2915211096614567,True,1500.0,180.0,90.0,5.0,0.15811300855153587,0.0358731371446457,0.015020026514386156,0.00926193042397436,0.031084811351023086,1.0584814909615192,2.363087843980404,3.1705142962091576e-05,0.0005142927564523625
36,2.295337246775286,True,1350.0,140.0,100.0,6.0,0.15333638174903125,0.035531527427423625,0.014617634351159918,0.009777163888578173,0.02980465851018763,1.0863801303643892,2.265606585135325,4.220109529911442e-05,0.0005110943813818184
37,2.2957999898507264,True,1350.0,60.0,100.0,6.0,0.1530519685578577,0.03652064782441849,0.014355935109157794,0.009859953276912014,0.029888971672996506,1.086885371063964,2.2211357735404706,0.00012244360599811586,0.000517393227446082
38,2.2976564249143117,True,1500.0,120.0,80.0,4.0,0.16409291596001652,0.03695759098617917,0.014761781168301676,0.009037717340691705,0.032915890937201576,1.0391355129737234,2.4520314927735902,0.00011194765366109302,0.0005180471439494359
39,2.297734540320445,True,1500.0,80.0,80.0,4.0,0.16393346591151398,0.03744196368642537,0.014625588120339919,0.00908113613423896,0.032960984745853385,1.0390922449742876,2.4232408745955842,0.00014959008931271484,0.0005177586828530529
40,2.297993910784063,True,1800.0,180.0,80.0,8.0,0.16476696042216912,0.037674642503019676,0.015242060543053621,0.008188947535973148,0.038880914074418085,1.0049726794563367,1.8841297884909598,0.00017989680825713697,0.0005188103193922168
41,2.3010865304518577,True,1350.0,140.0,120.0,12.0,0.14661316295392293,0.03551417190416592,0.014537283662058875,0.009792285370157363,0.03269123399948501,1.1202955142199107,2.042201601526193,5.11169298212257e-05,0.0005146767854312256
42,2.3026005450850238,True,1350.0,60.0,120.0,12.0,0.14632508453210008,0.03643064925278833,0.014283518877627977,0.009880545437985817,0.03286249345512144,1.1203758607640875,2.0480666669935035,0.00011550686903918134,0.0005174465415123835
43,2.3043817249503684,True,1350.0,100.0,100.0,8.0,0.1535697064556649,0.03632951021232022,0.014380706548315275,0.009695046248467985,0.032540953627661046,1.0729287259997435,1.8884665937859955,7.786443338755951e-05,0.0005177226325343745
44,2.3057353939445813,True,1350.0,100.0,90.0,5.0,0.15820219389609574,0.03640768657698741,0.014432618500297933,0.009690648514263257,0.03111887168269391,1.0555147652723162,2.323592425089581,2.2789308439980305e-05,0.0005161146938304704
45,2.3131147377025103,True,1500.0,180.0,120.0,16.0,0.1477644474696475,0.0360314162857026,0.01487512867395188,0.009293891431444986,0.03659890552169761,1.141136101932245,2.4417617116744093,0.00012442270356129262,0.0005186288964063502
46,2.313214910745223,True,1500.0,180.0,100.0,10.0,0.15398327955531693,0.036215213346783195,0.014949309515395401,0.009272215006593837,0.03498301577811982,1.0760846838010132,1.9756341658472012,6.894859886544823e-05,0.0005171718205965027
47,2.316168840130213,True,1500.0,180.0,90.0,7.0,0.15853823412986862,0.0363319647818827,0.014998052547667602,0.009261868598226053,0.03394014954631483,1.0453275985128117,1.8638369413955524,4.062097748420285e-05,0.0005148455984713894
48,2.3184730456676377,True,1350.0,140.0,100.0,8.0,0.15370928631899977,0.035949791538071665,0.01459742943972949,0.009779115085712158,0.032496787746268005,1.0730280898494953,1.890986302548852,4.220109529911442e-05,0.0005113585123816941
49,2.3194320473686423,True,1350.0,60.0,100.0,8.0,0.15343392914695922,0.03689064372489842,0.014341034679495884,0.00986437238671711,0.032617684204290065,1.0732686853717486,1.8848049579648465,0.00011550686903918134,0.0005174162116277567
50,2.3202947509413443,True,1350.0,140.0,90.0,5.0,0.15833725599991816,0.03601033880299944,0.014648534010414726,0.00977488393395191,0.031093414538413876,1.0561611093737946,2.3480906650656985,2.2789308439980305e-05,0.0005093325839700706
51,2.320784555794959,True,1350.0,60.0,90.0,5.0,0.15806689326271975,0.03700181767820296,0.014387063942060515,0.00985776539093612,0.031169518078935435,1.0570339126598964,2.295743103093889,0.00010303181913898174,0.0005173846360415047
52,2.3261203614270434,True,1500.0,180.0,80.0,4.0,0.16429800922086307,0.03647196871328513,0.015058463186390997,0.00926105703723535,0.03288113650298738,1.0404533525777302,2.487352715728759,3.1705142962091576e-05,0.0005123551474844369
53,2.3273743387722767,True,1350.0,100.0,120.0,16.0,0.1478028465796122,0.03649277868405089,0.01428329188777002,0.009725451525441676,0.03673534162046105,1.1324281315593454,2.446010939791899,0.00011550686903918134,0.0005177953846476699
54,2.327911440918331,True,1350.0,100.0,100.0,10.0,0.15404328327559952,0.03670563668204532,0.014359760909350766,0.009702098139507337,0.03507725195562551,1.0709982301599554,1.9776596264276254,9.76751999949588e-05,0.0005177530631755124
55,2.3296346464179885,True,1200.0,150.0,120.0,8.0,0.14626268605825493,0.03454998208472934,0.014412673781744743,0.010696124466452843,0.028070615741600632,1.1327997131935341,2.1806854912380067,4.022199773593767e-05,0.0004999773420591031
56,2.3305607811858304,True,1350.0,100.0,90.0,7.0,0.1586116997189066,0.0368402111425597,0.014409869264959284,0.009690949393543816,0.034003114963832584,1.044035163765733,1.8586480789804263,2.4768406003157056e-05,0.0005166424827293694
57,2.3404337305589396,True,1350.0,100.0,80.0,4.0,0.16440446580335777,0.037006457742706014,0.014472455698825226,0.009690203631441139,0.032906487056216266,1.037856125657949,2.4429642529993685,2.2789308439980305e-05,0.0005141322187919485
58,2.3407599540222748,True,1350.0,140.0,120.0,16.0,0.14792649999743868,0.036146553199499075,0.014500056577003387,0.00980621126259281,0.03664222452285243,1.1346592109636306,2.441446500903323,5.309602738440244e-05,0.0005166592539411677
59,2.3415802136353174,True,1350.0,140.0,100.0,10.0,0.15417433458134067,0.03634191701121217,0.014576354162329278,0.009785345132127459,0.03501633072078582,1.0714487724044393,1.9737061189271745,3.526435834017991e-05,0.0005117072822416284
60,2.343421542598563,True,1350.0,60.0,100.0,10.0,0.15391063957010986,0.03723790451781178,0.014325002552862197,0.009873149427832451,0.035180744448146964,1.0724502941895955,1.9811908070674127,0.00012442270356129262,0.0005174359467000648
61,2.343595073970225,True,1350.0,60.0,120.0,16.0,0.14766344204140192,0.03699480162288314,0.01425473432623223,0.009899457611589293,0.03689480274334971,1.1323213512223451,2.450481434206789,0.00014225437260551515,0.0005174578522902735
62,2.3449388092258023,True,1350.0,140.0,90.0,7.0,0.15874449939352225,0.036462894960949885,0.014625940782035706,0.009774810304917513,0.03396181584020655,1.0439031803084746,1.8622477294828554,2.2789308439980305e-05,0.0005097050895749473
63,2.345875888769474,True,1350.0,60.0,90.0,7.0,0.15847859072059603,0.037398315584671035,0.014370541534939739,0.00986014008839759,0.03407650445724667,1.043844479242905,1.8531484417075281,9.609508218004721e-05,0.0005174078044885714
64,2.347817364299686,True,1500.0,120.0,80.0,8.0,0.16505172368297238,0.03787501808841761,0.014706664168369733,0.00904005872266539,0.03888443887699902,0.999588686313454,1.881960379263661,0.00010501091670215849,0.0005181177185493475
65,2.3489740511150523,True,1500.0,80.0,80.0,8.0,0.1648990176967496,0.03829312604921343,0.014580116584811932,0.009085712146682736,0.038990565247697555,1.0011075217866456,1.8853638134169863,0.00014959008931271484,0.0005178078903870288
66,2.3548318844616056,True,1350.0,140.0,80.0,4.0,0.16452907150300639,0.036609747891653166,0.014687445569210958,0.009773863747813492,0.03288524682764857,1.0385688399574506,2.470519867896657,1.3873473917869035e-05,0.0005074031968883633
67,2.3553416703686345,True,1350.0,60.0,80.0,4.0,0.1642739725182107,0.03760547409444773,0.014426198624860572,0.009857193769861697,0.0329561882389033,1.0387112507603478,2.4098977764810066,9.609508218004721e-05,0.0005173763545341993
68,2.3650906323996073,True,1200.0,150.0,100.0,6.0,0.15381939410603654,0.035269742491291986,0.014457801724597236,0.010690174864191729,0.029760688663962535,1.086507301534463,2.2765651518783434,3.328526077700316e-05,0.0004968737322158653
69,2.3708397513154087,True,1200.0,150.0,120.0,12.0,0.14707485515060859,0.03526618267013071,0.014380817890915488,0.010705404089567322,0.03263411784772779,1.120190653257665,2.034383225751526,4.220109529911442e-05,0.0004996636814269557
70,2.37629808516157,True,1500.0,180.0,80.0,8.0,0.16522634971180475,0.03743990226993463,0.015007591370051103,0.009263318002131735,0.03879915813240408,1.0032276307339558,1.8763591219747981,2.4768406003157056e-05,0.0005137271043507818
71,2.388202242468087,True,1200.0,150.0,100.0,8.0,0.15417733837522649,0.03569766798882679,0.014439471865961579,0.010692233142871366,0.032445201594238506,1.072745987949049,1.8920760971489292,3.328526077700316e-05,0.0004968224057347249
72,2.389990937786253,True,1200.0,150.0,90.0,5.0,0.15880944017547588,0.035749664957341866,0.0144880101024427,0.010687526537209759,0.03105416010322314,1.0561573498360506,2.3606240203259046,1.3873473917869035e-05,0.0004950824749276647
73,2.3907369011022053,True,1350.0,100.0,80.0,8.0,0.16530829647818235,0.03791574296494748,0.014420071040737259,0.009693537364162756,0.0388877049089595,0.998655809329132,1.879664731018112,1.5852571481045788e-05,0.0005154831198525465
74,2.404907063238098,True,1350.0,140.0,80.0,8.0,0.16542310142939953,0.037564432252515885,0.014635256478866734,0.009776358875416903,0.038831118711276494,0.9983621119131002,1.8750676132410373,1.5852571481045788e-05,0.0005084595394209907
